obs_id,study,cohort_id,likelihood_group,group,dose_cfu,n,y,obs_rate,CoP,phi,T_thresh,gilman_stratum,vaccine_id,psi_def,fit_lo,fit_med,fit_hi,level,n_pooled,cop_bin,CoP_lo,CoP_hi,n_bins
G20-F-naive,Gibani,OX-GIB-2019-NAIVE,ox_fev,1,25000,19,12,0.631578947368421,1,1,38,0,0,0,0.32746924450000003,0.591573325,0.8851410249999999,arm,1,NA,NA,NA,NA
J-F-ViPS,Jin,OX-JIN-2015-VIPS,ox_fev,1,20000,35,13,0.37142857142857144,38.11,1,38,0,0,0,0.03135367455,0.20515582999999998,0.5604234355,arm,1,NA,NA,NA,NA
J-F-ViTT,Jin,OX-JIN-2015-VITT,ox_fev,1,20000,37,13,0.35135135135135137,152.16,1,38,0,0,0,0.009226360495,0.126891825,0.4734311839999999,arm,1,NA,NA,NA,NA
J-F-ctrl,Jin,OX-JIN-2015-CTRL,ox_fev,1,20000,31,24,0.7741935483870968,2.16,1,38,0,0,0,0.23165147900000002,0.47306484,0.800029478,arm,1,NA,NA,NA,NA
W-F-3,Waddington,OX-WAD-2011-D3,ox_fev,1,1000,20,11,0.55,1,1,38,0,0,0,0.04949603125,0.31605004000000003,0.6474628855,arm,1,NA,NA,NA,NA
W-F-4,Waddington,OX-WAD-2011-D4,ox_fev,1,10000,20,13,0.65,1,1,38,0,0,0,0.24809406250000002,0.524530605,0.8383595209999997,arm,1,NA,NA,NA,NA
J-I-ViPS,Jin,OX-JIN-2015-VIPS,ox_inf,2,20000,35,21,0.6,38.11,NA,38,0,0,0,0.06090017120000001,0.24223303000000002,0.5024188045,arm,1,NA,NA,NA,NA
J-I-ViTT,Jin,OX-JIN-2015-VITT,ox_inf,2,20000,37,22,0.5945945945945946,152.16,NA,38,0,0,0,0.030889695850000003,0.19919491,0.46549874750000003,arm,1,NA,NA,NA,NA
J-I-ctrl,Jin,OX-JIN-2015-CTRL,ox_inf,2,20000,31,22,0.7096774193548387,2.16,NA,38,0,0,0,0.1687672685,0.35530138,0.5983496814999999,arm,1,NA,NA,NA,NA
W-I-3,Waddington,OX-WAD-2011-D3,ox_inf,2,1000,20,13,0.65,1,NA,38,0,0,0,0.1820083875,0.35004156,0.552527902,arm,1,NA,NA,NA,NA
W-I-4,Waddington,OX-WAD-2011-D4,ox_inf,2,10000,20,8,0.4,1,NA,38,0,0,0,0.18683292899999998,0.38033291,0.6154279469999998,arm,1,NA,NA,NA,NA
Gil-F-Hhi,Gilman,MD-GIL-1975-CTRL,md_fev,3,100000,17,4,0.23529411764705882,NA,0.65,38.3,2,0,0,9.328242120000004e-6,0.00815437485,0.16478867949999992,arm,1,NA,NA,NA,NA
Gil-F-Hlo,Gilman,MD-GIL-1975-CTRL,md_fev,3,100000,36,22,0.6111111111111112,NA,0.65,38.3,1,0,0,2.6221039000000002e-5,0.019635505499999997,0.27897811099999953,arm,1,NA,NA,NA,NA
Gil-F-rest,Gilman,MD-GIL-1975-CTRL,md_fev,3,100000,11,5,0.45454545454545453,NA,0.65,38.3,0,0,0,2.2093480700000004e-5,0.0159231985,0.23508353449999955,arm,1,NA,NA,NA,NA
H-F-3,Hornick,MD-HOR-1965-D3,md_fev,3,1000,14,0,0,NA,0.25,39.4,0,0,0,4.3000424900000003e-10,5.40086925e-6,0.006197337259999996,arm,1,NA,NA,NA,NA
H-F-5,Hornick,MD-HOR-1965-D5,md_fev,3,100000,116,32,0.27586206896551724,NA,0.25,39.4,0,0,0,3.9116342e-6,0.00900698475,0.19720769749999983,arm,1,NA,NA,NA,NA
H-F-8,Hornick,MD-HOR-1965-D8,md_fev,3,100000000,9,8,0.8888888888888888,NA,0.25,39.4,0,0,0,0.09667480184999999,0.3831522,0.8288874635,arm,1,NA,NA,NA,NA
H-F-9,Hornick,MD-HOR-1965-D9,md_fev,3,1000000000,42,40,0.9523809523809523,NA,0.25,39.4,0,0,0,0.21214360599999998,0.5231747,0.912387088,arm,1,NA,NA,NA,NA
Lev-F-1,Levine,MD-LEV-1970-T1,md_fev,3,100000,26,13,0.5,NA,0.65,38.3,0,0,0,2.2093480700000004e-5,0.0159231985,0.23508353449999955,arm,1,NA,NA,NA,NA
Lev-F-2,Levine,MD-LEV-1971-T2,md_fev,3,100000,33,10,0.30303030303030304,NA,0.65,38.3,0,0,0,2.2093480700000004e-5,0.0159231985,0.23508353449999955,arm,1,NA,NA,NA,NA
Lev-F-3,Levine,MD-LEV-1972-T3,md_fev,3,100000,22,12,0.5454545454545454,NA,0.65,38.3,0,0,0,2.2093480700000004e-5,0.0159231985,0.23508353449999955,arm,1,NA,NA,NA,NA
Lev-F-4,Levine,MD-LEV-1973-T4,md_fev,3,100000,16,4,0.25,NA,0.65,38.3,0,0,0,2.2093480700000004e-5,0.0159231985,0.23508353449999955,arm,1,NA,NA,NA,NA
Gil-I-ctrl,Gilman,MD-GIL-1975-CTRL,md_inf,4,100000,43,26,0.6046511627906976,NA,NA,38,0,0,2,0.004117865455,0.104334395,0.3305480324999999,arm,1,NA,NA,NA,NA
H-I-7,Hornick,MD-HOR-1965-D7,md_inf,4,10000000,30,28,0.9333333333333333,NA,NA,38,0,0,0,0.348046527,0.629776025,0.9378890375000001,arm,1,NA,NA,NA,NA
Lev-I-1,Levine,MD-LEV-1970-T1,md_inf,4,100000,26,19,0.7307692307692307,NA,NA,38,0,0,1,0.006110280765,0.147401675,0.413708875,arm,1,NA,NA,NA,NA
Lev-I-2,Levine,MD-LEV-1971-T2,md_inf,4,100000,33,15,0.45454545454545453,NA,NA,38,0,0,1,0.006110280765,0.147401675,0.413708875,arm,1,NA,NA,NA,NA
Lev-I-3,Levine,MD-LEV-1972-T3,md_inf,4,100000,22,17,0.7727272727272727,NA,NA,38,0,0,1,0.006110280765,0.147401675,0.413708875,arm,1,NA,NA,NA,NA
Lev-I-4,Levine,MD-LEV-1973-T4,md_inf,4,100000,16,6,0.375,NA,NA,38,0,0,1,0.006110280765,0.147401675,0.413708875,arm,1,NA,NA,NA,NA
H-FgI-7,Hornick,MD-HOR-1965-D7,hornick_cond,5,10000000,28,16,0.5714285714285714,NA,0.25,39.4,0,0,0,0.03851836040000001,0.34991542,0.8045711925,arm,1,NA,NA,NA,NA
D-I-m01zh09-10,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.250329277,0.82797842,0.9999512489999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-170,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.250329277,0.82797842,0.9999512489999999,individual,1,NA,NA,NA,NA
