obs_id,study,cohort_id,likelihood_group,group,dose_cfu,n,y,obs_rate,CoP,phi,T_thresh,gilman_stratum,vaccine_id,psi_def,fit_lo,fit_med,fit_hi,level,n_pooled,cop_bin,CoP_lo,CoP_hi,n_bins
G20-F-naive,Gibani,OX-GIB-2019-NAIVE,ox_fev,1,25000,19,12,0.631578947368421,1,1,38,0,0,0,0.6944175985000001,0.75948119,0.8192413985,arm,1,NA,NA,NA,NA
J-F-ViPS,Jin,OX-JIN-2015-VIPS,ox_fev,1,20000,35,13,0.37142857142857144,38.11,1,38,0,0,0,0.3861113805,0.4806165,0.569479174,arm,1,NA,NA,NA,NA
J-F-ViTT,Jin,OX-JIN-2015-VITT,ox_fev,1,20000,37,13,0.35135135135135137,152.16,1,38,0,0,0,0.2708915345,0.382826,0.4998223104999999,arm,1,NA,NA,NA,NA
J-F-ctrl,Jin,OX-JIN-2015-CTRL,ox_fev,1,20000,31,24,0.7741935483870968,2.16,1,38,0,0,0,0.6342356195,0.6941703850000001,0.7533717345000001,arm,1,NA,NA,NA,NA
W-F-3,Waddington,OX-WAD-2011-D3,ox_fev,1,1000,20,11,0.55,1,1,38,0,0,0,0.4063496045,0.51927434,0.6160312455,arm,1,NA,NA,NA,NA
W-F-4,Waddington,OX-WAD-2011-D4,ox_fev,1,10000,20,13,0.65,1,1,38,0,0,0,0.634928936,0.70555625,0.7718885794999999,arm,1,NA,NA,NA,NA
J-I-ViPS,Jin,OX-JIN-2015-VIPS,ox_inf,2,20000,35,21,0.6,38.11,NA,38,0,0,0,0.46376414099999996,0.54596727,0.6229217954999999,arm,1,NA,NA,NA,NA
J-I-ViTT,Jin,OX-JIN-2015-VITT,ox_inf,2,20000,37,22,0.5945945945945946,152.16,NA,38,0,0,0,0.42382856350000003,0.5178495999999999,0.6016577975,arm,1,NA,NA,NA,NA
J-I-ctrl,Jin,OX-JIN-2015-CTRL,ox_inf,2,20000,31,22,0.7096774193548387,2.16,NA,38,0,0,0,0.519920288,0.6028688950000001,0.678140073,arm,1,NA,NA,NA,NA
W-I-3,Waddington,OX-WAD-2011-D3,ox_inf,2,1000,20,13,0.65,1,NA,38,0,0,0,0.451576211,0.531132425,0.606014268,arm,1,NA,NA,NA,NA
W-I-4,Waddington,OX-WAD-2011-D4,ox_inf,2,10000,20,8,0.4,1,NA,38,0,0,0,0.516330123,0.6005363100000001,0.6766048669999999,arm,1,NA,NA,NA,NA
Gil-F-Hhi,Gilman,MD-GIL-1975-CTRL,md_fev,3,100000,17,4,0.23529411764705882,NA,0.65,38.3,2,0,0,0.2200044055,0.3122298,0.41239282049999987,arm,1,NA,NA,NA,NA
Gil-F-Hlo,Gilman,MD-GIL-1975-CTRL,md_fev,3,100000,36,22,0.6111111111111112,NA,0.65,38.3,1,0,0,0.36039588949999996,0.43900751,0.5218031969999999,arm,1,NA,NA,NA,NA
Gil-F-rest,Gilman,MD-GIL-1975-CTRL,md_fev,3,100000,11,5,0.45454545454545453,NA,0.65,38.3,0,0,0,0.33458912150000003,0.396176415,0.457535678,arm,1,NA,NA,NA,NA
H-F-3,Hornick,MD-HOR-1965-D3,md_fev,3,1000,14,0,0,NA,0.25,39.4,0,0,0,0.00222107047,0.0110854265,0.04433251764999999,arm,1,NA,NA,NA,NA
H-F-5,Hornick,MD-HOR-1965-D5,md_fev,3,100000,116,32,0.27586206896551724,NA,0.25,39.4,0,0,0,0.2318622945,0.2966397,0.3643745055,arm,1,NA,NA,NA,NA
H-F-8,Hornick,MD-HOR-1965-D8,md_fev,3,100000000,9,8,0.8888888888888888,NA,0.25,39.4,0,0,0,0.7060265554999999,0.788322705,0.8567702519999999,arm,1,NA,NA,NA,NA
H-F-9,Hornick,MD-HOR-1965-D9,md_fev,3,1000000000,42,40,0.9523809523809523,NA,0.25,39.4,0,0,0,0.789553941,0.86409487,0.91963457,arm,1,NA,NA,NA,NA
Lev-F-1,Levine,MD-LEV-1970-T1,md_fev,3,100000,26,13,0.5,NA,0.65,38.3,0,0,0,0.33458912150000003,0.396176415,0.457535678,arm,1,NA,NA,NA,NA
Lev-F-2,Levine,MD-LEV-1971-T2,md_fev,3,100000,33,10,0.30303030303030304,NA,0.65,38.3,0,0,0,0.33458912150000003,0.396176415,0.457535678,arm,1,NA,NA,NA,NA
Lev-F-3,Levine,MD-LEV-1972-T3,md_fev,3,100000,22,12,0.5454545454545454,NA,0.65,38.3,0,0,0,0.33458912150000003,0.396176415,0.457535678,arm,1,NA,NA,NA,NA
Lev-F-4,Levine,MD-LEV-1973-T4,md_fev,3,100000,16,4,0.25,NA,0.65,38.3,0,0,0,0.33458912150000003,0.396176415,0.457535678,arm,1,NA,NA,NA,NA
Gil-I-ctrl,Gilman,MD-GIL-1975-CTRL,md_inf,4,100000,43,26,0.6046511627906976,NA,NA,38,0,0,2,0.3888215385,0.5103811,0.6034039105,arm,1,NA,NA,NA,NA
H-I-7,Hornick,MD-HOR-1965-D7,md_inf,4,10000000,30,28,0.9333333333333333,NA,NA,38,0,0,0,0.839416144,0.89095812,0.9340006729999999,arm,1,NA,NA,NA,NA
Lev-I-1,Levine,MD-LEV-1970-T1,md_inf,4,100000,26,19,0.7307692307692307,NA,NA,38,0,0,1,0.5111803075,0.5896164749999999,0.6627027305,arm,1,NA,NA,NA,NA
Lev-I-2,Levine,MD-LEV-1971-T2,md_inf,4,100000,33,15,0.45454545454545453,NA,NA,38,0,0,1,0.5111803075,0.5896164749999999,0.6627027305,arm,1,NA,NA,NA,NA
Lev-I-3,Levine,MD-LEV-1972-T3,md_inf,4,100000,22,17,0.7727272727272727,NA,NA,38,0,0,1,0.5111803075,0.5896164749999999,0.6627027305,arm,1,NA,NA,NA,NA
Lev-I-4,Levine,MD-LEV-1973-T4,md_inf,4,100000,16,6,0.375,NA,NA,38,0,0,1,0.5111803075,0.5896164749999999,0.6627027305,arm,1,NA,NA,NA,NA
H-FgI-7,Hornick,MD-HOR-1965-D7,hornick_cond,5,10000000,28,16,0.5714285714285714,NA,0.25,39.4,0,0,0,0.6780327505,0.75598476,0.8266612760000001,arm,1,NA,NA,NA,NA
D-I-m01zh09-10,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-170,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-207,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-227,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,2.4837837837837835,1,38,0,1,0,0.6097863375,0.724094095,0.8210760304999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-285,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-290,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-317,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,15.267567567567568,1,38,0,1,0,0.5422668235,0.666269035,0.7810965215,individual,1,NA,NA,NA,NA
D-I-m01zh09-354,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-372,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-388,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-415,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-453,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,3.8756756756756756,1,38,0,1,0,0.5941900630000001,0.70965577,0.8104457139999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-458,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,55.127027027027026,1,38,0,1,0,0.48827507750000004,0.62710912,0.7534292899999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-467,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-552,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-586,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-634,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-648,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-696,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-745,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-759,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-770,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-777,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-78,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-780,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-791,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-814,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-851,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-882,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,19.148648648648646,1,38,0,1,0,0.531695823,0.659525445,0.7766230789999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-962,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,1,0,0.6382391270000001,0.75166673,0.8449153699999999,individual,1,NA,NA,NA,NA
D-I-m01zh09-979,Darton,OX-DAR-2013-M01ZH09,ox_inf_indiv,6,18200,1,1,1,2.5648648648648646,1,38,0,1,0,0.608952731,0.723064325,0.820397639,individual,1,NA,NA,NA,NA
D-I-plac-102,Darton,OX-DAR-2013-PLAC,ox_inf_indiv,6,18200,1,0,0,1,1,38,0,0,0,0.8094683715,0.8637195449999999,0.910409451,individual,1,NA,NA,NA,NA
D-I-plac-149,Darton,OX-DAR-2013-PLAC,ox_inf_indiv,6,18200,1,1,1,1,1,38,0,0,0,0.8094683715,0.8637195449999999,0.910409451,individual,1,NA,NA,NA,NA
