variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail,mcse_mean
log10_N50_inf,1.56461759349,1.6012735,0.46085381961186506,0.7653451825,2.2638725999999996,1.001142873958543,2141.3032603079855,2259.2498576887624,0.010309194975732832
d_fev,0.5549332240508426,0.488921625,0.39353105949832284,0.05244541240000001,1.3006534049999998,1.0013712459956137,2113.022177135561,1785.0329469020003,0.00800299597671207
alpha_inf,0.218654855488,0.212214495,0.050420980186776654,0.147785922,0.30762153099999995,1.0002670971475267,2782.773681198559,2345.6386855680817,9.422076249204345e-4
alpha_fevginf,0.276738389825,0.266761305,0.06834414453268747,0.18219693799999997,0.4026086709999999,1.0010940685806387,3681.2768791604512,2931.3347293128554,0.0011586499825147983
gamma_inf,0.08627338972575,0.081175041,0.03578545049091836,0.03686384445,0.1507612215,0.9999097833748013,4043.2449662515114,2805.0870819292372,5.4466626982392e-4
gamma_fevginf,0.195664823999,0.192081285,0.06602746916195337,0.08908548820000001,0.30745419649999994,1.0029484498193035,3564.407500186015,2351.080390216608,0.0010831885349679013
log10_delta,2.02039478685,2.0045179500000003,0.33661452795187674,1.492658575,2.58486597,1.0013150386220973,2744.783532820558,2134.3822567061156,0.006577371916928525
pi_susc,0.6570037943775,0.6704929,0.1341377535840665,0.421599553,0.858311901,1.0003090066056821,5390.421818512252,2679.1765403568565,0.0018229185200195049
CoP_imm,13.035131437462,9.22584965,12.776505541666303,1.0354521399999999,37.3567992,1.001145667607918,3346.5545942935123,1927.6090475496867,0.19421953202441541
CoP_susc,0.953136493555,0.913404105,0.2864746163197952,0.5618956789999999,1.4779440549999996,1.0001219175714402,4970.155470876624,2570.825013552641,0.004126595595206401
phi0_a,1.254890974911,1.2320001500000002,0.40931427598633463,0.6118737225,1.947268395,1.0008234067951505,3059.990785907054,2685.2566107167913,0.007350144057880264
phi0_b,1.83363468627725,1.8139992500000002,0.5893664548281506,0.9054036560000001,2.84367708,1.0009831261623556,2723.1398084117186,2058.548843592334,0.011091862650654295
eta_lo,0.7108021356499999,0.710762525,0.05783477376276848,0.6141326545,0.8061889674999999,1.0015432857770346,3577.0537900113545,2329.134863624477,9.607638530959999e-4
kappa,1.6187511677895,0.97785194,2.114084812010666,0.17251353950000003,5.090228764999983,1.0016299155297004,5634.712111624961,2921.4586563811044,0.03579026117560557
grand_overdispersion_rho,0.02654707551574775,0.0243469095,0.015635636672299353,0.005141135825,0.0546752243,1.0011445619021266,2517.576626469255,1408.9911178361842,2.6752482456442346e-4
log_V_M01ZH09,0.3634919796223883,0.360853285,0.18677137018764833,0.05961993625,0.6717973355,1.0001207295922738,4378.860302855833,3013.465379627529,0.0028228312791580504
log_V_Ty21a,0.6368232583725375,0.632754175,0.20901056600080184,0.299851342,0.986357199,1.0003713746358038,4303.490541012871,2875.318544723551,0.003187381685296091
psi_stool,0.8141453018225,0.81557165,0.06497386110277655,0.706074323,0.9168534524999999,1.0013253695644107,4400.080680209096,2128.2435378179116,9.535909589921597e-4
frac_late,0.8588720903575,0.877338125,0.09512289208639974,0.681132484,0.9796758535000001,1.0025184685131783,4601.599465350554,2432.56047837184,0.001239577765676294
log10_N50_fevginf,2.119550817315,2.1417048999999997,0.38816412573063946,1.45431438,2.7151878549999995,1.002363854202106,3076.806436204659,2535.464985050377,0.007100015021927979
N50_inf,60.0488527709475,39.927624,65.65732990172849,5.8256610349999995,183.6000014999999,1.0009102424102911,2141.3032603079855,2259.2498576887624,1.297348478204642
N50_fevginf,189.15582328065,138.581435,171.18252840105575,28.465210199999998,519.0245369999998,1.0028682842206158,3076.806436204659,2535.464985050377,3.0132661750996435
delta,144.3893535691,101.04572999999999,150.24412310747084,31.092707249999997,384.4731319999999,1.00078439530664,2744.783532820558,2134.3822567061156,3.7453776074265117
grand_concentration_k,85.86276112464998,40.072975,501.3324013114672,17.2898195,193.50969849999979,1.0011044100826745,2517.576626469255,1408.9911178361847,10.572518548639271
V_M01ZH09,1.463765876185,1.43455295,0.2778515415659625,1.0614331,1.95775292,1.0001207298633628,4378.85888194381,3013.465379627529,0.0042607762206462235
V_Ty21a,1.9323876011725,1.882789,0.4110817235082163,1.34965819,2.68144869,1.0002634639955958,4303.487510123078,2875.318544723551,0.006340269160483184
