point_id,antigen_isotype,color_hex,boosting_ratio
0,HlyE IgA,#9d83bc,22.91
1,HlyE IgA,#9d83bc,24.68
2,HlyE IgA,#9d83bc,36.29
3,HlyE IgA,#9d83bc,27.21
4,HlyE IgA,#9d83bc,11.60
5,HlyE IgA,#9d83bc,35.11
6,HlyE IgA,#9d83bc,25.40
7,HlyE IgA,#9d83bc,5.09
8,HlyE IgA,#9d83bc,0.51
9,HlyE IgA,#9d83bc,21.16
10,HlyE IgA,#9d83bc,7.37
11,HlyE IgA,#9d83bc,10.99
12,HlyE IgA,#9d83bc,36.79
13,HlyE IgA,#9d83bc,0.15
14,HlyE IgA,#9d83bc,2.82
15,HlyE IgA,#9d83bc,0.20
16,HlyE IgA,#9d83bc,3.84
17,HlyE IgA,#9d83bc,13.79
18,HlyE IgA,#9d83bc,28.86
19,HlyE IgA,#9d83bc,11.93
20,HlyE IgA,#9d83bc,32.98
21,HlyE IgA,#9d83bc,30.61
22,HlyE IgA,#9d83bc,5.66
23,HlyE IgA,#9d83bc,22.78
24,HlyE IgA,#9d83bc,21.10
25,HlyE IgA,#9d83bc,15.74
26,HlyE IgA,#9d83bc,6.02
27,HlyE IgA,#9d83bc,26.02
28,HlyE IgA,#9d83bc,3.80
29,HlyE IgA,#9d83bc,2.48
30,HlyE IgA,#9d83bc,2.66
31,HlyE IgA,#9d83bc,24.80
32,HlyE IgA,#9d83bc,20.99
33,HlyE IgA,#9d83bc,1.96
34,HlyE IgA,#9d83bc,8.09
35,HlyE IgA,#9d83bc,20.95
36,HlyE IgA,#9d83bc,15.52
37,HlyE IgA,#9d83bc,32.40
38,HlyE IgA,#9d83bc,16.46
39,HlyE IgA,#9d83bc,2.94
40,HlyE IgA,#9d83bc,4.85
41,HlyE IgA,#9d83bc,8.55
42,HlyE IgA,#9d83bc,6.80
43,HlyE IgA,#9d83bc,5.38
44,HlyE IgA,#9d83bc,5.28
45,HlyE IgA,#9d83bc,11.55
46,HlyE IgA,#9d83bc,30.06
47,HlyE IgA,#9d83bc,29.64
48,HlyE IgA,#9d83bc,10.19
49,HlyE IgA,#9d83bc,22.93
50,HlyE IgA,#9d83bc,14.23
51,HlyE IgA,#9d83bc,15.39
52,HlyE IgA,#9d83bc,4.13
53,HlyE IgA,#9d83bc,16.98
54,HlyE IgA,#9d83bc,5.84
55,HlyE IgA,#9d83bc,10.11
56,HlyE IgA,#9d83bc,19.66
57,HlyE IgA,#9d83bc,8.31
58,HlyE IgA,#9d83bc,27.76
59,HlyE IgA,#9d83bc,1.80
60,HlyE IgA,#9d83bc,44.01
61,HlyE IgA,#9d83bc,2.08
62,HlyE IgA,#9d83bc,10.13
63,HlyE IgA,#9d83bc,23.87
64,HlyE IgA,#9d83bc,3.19
65,HlyE IgA,#9d83bc,2.79
66,HlyE IgA,#9d83bc,7.11
67,HlyE IgA,#9d83bc,4.31
68,HlyE IgA,#9d83bc,5.08
69,HlyE IgA,#9d83bc,15.37
70,HlyE IgA,#9d83bc,3.82
71,HlyE IgA,#9d83bc,24.52
72,HlyE IgA,#9d83bc,2.75
73,HlyE IgA,#9d83bc,20.15
74,HlyE IgA,#9d83bc,36.58
75,HlyE IgA,#9d83bc,4.45
76,HlyE IgA,#9d83bc,7.32
77,HlyE IgA,#9d83bc,2.21
78,HlyE IgA,#9d83bc,10.18
79,HlyE IgA,#9d83bc,7.09
80,HlyE IgA,#9d83bc,36.63
81,HlyE IgA,#9d83bc,28.94
82,HlyE IgA,#9d83bc,10.99
83,HlyE IgA,#9d83bc,6.81
84,HlyE IgA,#9d83bc,46.41
85,HlyE IgA,#9d83bc,19.64
86,HlyE IgA,#9d83bc,8.30
87,HlyE IgA,#9d83bc,9.07
88,HlyE IgA,#9d83bc,29.00
89,HlyE IgA,#9d83bc,4.14
